literal,pragmatic_aligned,pragmatic_uncertain,pragmatic_conservative,pragmatic_pedagogic
0.2500000000000001,0.07104359294078944,0.11796052808904356,-0.10251477273986404,0.2104438283967
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
-2.220446049250313e-16,-0.12784663201286262,-0.10647784883261491,-0.06188812337488914,-0.08408501807184376
0.0,0.5983046957745903,0.5087494707088961,1.0492320147912313,0.3646118828968625
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
1.2769904161327992,1.2318022620691034,1.2439942712857694,1.0492320147912308,1.2573969326352552
-0.47956253991933084,-0.626098263623128,-0.6251734221546389,-0.4655013869670299,-0.6201413204808714
-2.220446049250313e-16,-0.12784663201286262,-0.10647784883261491,-0.06188812337488914,-0.08408501807184376
0.5000000000000002,0.7242504202876489,0.808885255910877,-0.06188812337488914,0.8498755281807752
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
-4.440892098500626e-16,-0.3146330577805355,-0.2722265984395108,-0.466850060509738,-0.2046362732966025
1.2769904161327992,1.2318022620691034,1.2439942712857694,1.0492320147912308,1.2573969326352552
-0.9591250798386615,1.2318022620691034,1.2439942712857694,1.0492320147912308,1.2573969326352552
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
-4.440892098500626e-16,-0.3146330577805355,-0.2722265984395108,-0.466850060509738,-0.2046362732966025
-4.440892098500626e-16,-0.3146330577805355,-0.2722265984395108,-0.466850060509738,-0.2046362732966025
-0.6384952080664,-0.6959856937996451,-0.6857478739259213,-0.06188812337488914,-0.6782885307424954
-2.220446049250313e-16,-0.12784663201286262,-0.10647784883261491,-0.06188812337488914,-0.08408501807184376
-2.220446049250313e-16,-0.12784663201286262,-0.10647784883261491,-0.06188812337488914,-0.08408501807184376
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
1.2769904161327992,1.2318022620691034,1.2439942712857694,1.0492320147912308,1.2573969326352552
1.2769904161327992,1.2318022620691034,1.2439942712857694,1.0492320147912308,1.2573969326352552
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
-2.220446049250313e-16,-0.12784663201286262,-0.10647784883261491,-0.06188812337488914,-0.08408501807184376
-4.440892098500626e-16,-0.3146330577805355,-0.2722265984395108,-0.466850060509738,-0.2046362732966025
-2.220446049250313e-16,-0.12784663201286262,-0.10647784883261491,-0.06188812337488914,-0.08408501807184376
-0.47956253991933084,-0.626098263623128,-0.6251734221546389,-0.4655013869670299,-0.6201413204808714
-0.47956253991933084,-0.626098263623128,-0.6251734221546389,-0.4655013869670299,-0.6201413204808714
-0.9591250798386615,1.2318022620691034,1.2439942712857694,1.0492320147912308,1.2573969326352552
1.2769904161327992,1.2318022620691034,1.2439942712857694,1.0492320147912308,1.2573969326352552
0.2500000000000001,0.07104359294078944,0.11796052808904356,-0.10251477273986404,0.2104438283967
-2.220446049250313e-16,-0.12784663201286262,-0.10647784883261491,-0.06188812337488914,-0.08408501807184376
0.5000000000000002,0.7242504202876489,0.808885255910877,-0.06188812337488914,0.8498755281807752
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
0.2500000000000001,0.07104359294078944,0.11796052808904356,-0.10251477273986404,0.2104438283967
0.0,0.5983046957745903,0.5087494707088961,1.0492320147912313,0.3646118828968625
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
0.2500000000000001,0.07104359294078944,0.11796052808904356,-0.10251477273986404,0.2104438283967
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
-0.47956253991933084,-0.626098263623128,-0.6251734221546389,-0.4655013869670299,-0.6201413204808714
-2.220446049250313e-16,-0.12784663201286262,-0.10647784883261491,-0.06188812337488914,-0.08408501807184376
-0.47956253991933084,-0.626098263623128,-0.6251734221546389,-0.4655013869670299,-0.6201413204808714
-0.6384952080664,-0.6959856937996451,-0.6857478739259213,-0.06188812337488914,-0.6782885307424954
1.2769904161327992,1.2318022620691034,1.2439942712857694,1.0492320147912308,1.2573969326352552
1.2769904161327992,1.2318022620691034,1.2439942712857694,1.0492320147912308,1.2573969326352552
-4.440892098500626e-16,-0.3146330577805355,-0.2722265984395108,-0.466850060509738,-0.2046362732966025
4.440892098500626e-16,0.5231963010851809,0.4328680450229312,1.0034026551331885,0.3084462363049104
-0.9591250798386615,1.2318022620691034,1.2439942712857694,1.0492320147912308,1.2573969326352552
0.0,0.5983046957745903,0.5087494707088961,1.0492320147912313,0.3646118828968625
-2.220446049250313e-16,-0.12784663201286262,-0.10647784883261491,-0.06188812337488914,-0.08408501807184376
0.5622809781222619,0.5087479892794666,0.5415798318896757,0.42691497706211834,0.5699763476309031
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
0.75,1.1894180766710956,1.2151452511502525,1.0512915883964502,1.249061693955068
0.4335173853154014,0.31615295480254657,0.22851760180430092,-0.3699124972933142,0.31615295480254657
-4.440892098500626e-16,-6.661338147750939e-16,-4.440892098500626e-16,-1.6653345369377348e-16,-6.661338147750939e-16
-2.220446049250313e-16,-5.551115123125783e-16,-6.661338147750939e-16,-2.220446049250313e-16,-5.551115123125783e-16
-2.220446049250313e-16,-5.551115123125783e-16,-6.661338147750939e-16,-2.220446049250313e-16,-5.551115123125783e-16
1.2769904161327992,1.1258748842171844,1.0803048069284638,0.45386618656737754,1.1258748842171844
1.2769904161327992,1.1258748842171844,1.0803048069284638,0.45386618656737754,1.1258748842171844
-0.6384952080664,-0.3317817382220426,-0.24641550480684193,0.45386618656737754,-0.3317817382220426
-0.8670347706308039,-0.8730515399270202,-0.8262823102042955,-0.3699124972933142,-0.8730515399270202
0.24999999999999967,0.45002721025578374,0.4518993721603657,0.4543080045452772,0.45002721025578374
-0.24999999999999944,-0.45002721025578307,-0.4518993721603648,-0.454308004545277,-0.45002721025578307
1.2769904161327992,1.1258748842171844,1.0803048069284638,0.45386618656737754,1.1258748842171844
-4.440892098500626e-16,-6.661338147750939e-16,-4.440892098500626e-16,-1.6653345369377348e-16,-6.661338147750939e-16
