ID,Sex,Age,Pre Moral Emotions 1,Pre Moral Emotions 2,Pre Moral Emotions 3,Pre Moral Emotions 4,Pre Moral Emotions 5,Pre Moral Emotions 6,Pre Moral Emotions 7,Pre Moral Emotions 8,Pre Moral Emotions 9,Pre Moral Emotions 10,Pre Moral Emotions 11,Pre Moral Emotions 12,Pre Moral Emotions 13,Pre Moral Emotions 14,Pre Moral Emotions 15,CFC 1,CFC 2,CFC 3,CFC 4,CFC 5,CFC 6,CFC 7,CFC 8,CFC 9,CFC 10,CFC 11,CFC 12,Key (1 or 2),L1 (T or I),L1 Word1,L1 Word2,L2 (T or I),L2 Word1,L2 Word2,L3 (T or I),L3 Word1,L3 Word2,L4 (T or I),L4 Word1,L4 Word2,L5 (T or I),L5 Word1,L5 Word2,L6 (T or I),L6 Word1,L6 Word2,L7 (T or I),L7 Word1,L7 Word2,L8 (T or I),L8 Word1,L8 Word2,"Non-Linear Section (IMU, DMU, RND)",NL1 (T or I),NL1 Word1,NL1 Word2,NL2 (T or I),NL2 Word1,NL2 Word2,NL3 (T or I),NL3 Word1,NL3 Word2,NL4 (T or I),NL4 Word1,NL4 Word2,NL5 (T or I),NL5 Word1,NL5 Word2,NL6 (T or I),NL6 Word1,NL6 Word2,NL7 (T or I),NL7 Word1,NL7 Word2,NL8 (T or I),NL8 Word1,NL8 Word2,Post Moral Emotions 1,Post Moral Emotions 2,Post Moral Emotions 3,Post Moral Emotions 4,Post Moral Emotions 5,Post Moral Emotions 6,Post Moral Emotions 7,Post Moral Emotions 8,Post Moral Emotions 9,Post Moral Emotions 10,Post Moral Emotions 11,Post Moral Emotions 12,Post Moral Emotions 13,Post Moral Emotions 14,Post Moral Emotions 15,Linear Horizion Q1,Linear Horizion Q2,Linear Horizion Q3,Linear Horizion Q4,Linear Horizion Q5,Linear Horizion Q6,Linear Horizion Q7,Linear Horizion Q8,Linear isPoison Q1,Linear isPoison Q2,Linear isPoison Q3,Linear isPoison Q4,Linear isPoison Q5,Linear isPoison Q6,Linear isPoison Q7,Linear isPoison Q8,Non-Linear Horizion Q1,Non-Linear Horizion Q2,Non-Linear Horizion Q3,Non-Linear Horizion Q4,Non-Linear Horizion Q5,Non-Linear Horizion Q6,Non-Linear Horizion Q7,Non-Linear Horizion Q8,Non-Linear isPoison Q1,Non-Linear isPoison Q2,Non-Linear isPoison Q3,Non-Linear isPoison Q4,Non-Linear isPoison Q5,Non-Linear isPoison Q6,Non-Linear isPoison Q7,Non-Linear isPoison Q8,# Bad Linear Info,# Bad Non-Linear Info
6626a78322f31d730ded2130,Female,24,1,1,1,3,2,2,3,3,2,1,2,4,3,3,3,Somewhat Characteristic,Uncertain,Somewhat Characteristic,Somewhat Uncharacteristic,Extremely Uncharacteristic,Uncertain,Somewhat Characteristic,Somewhat Characteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Characteristic,Uncertain,2,Instruct,spotted,green,Teach,Plain,-2,Teach,Spotted,+2,Teach,Plain,-2,Instruct,spotted,green,Instruct,striped,red,Instruct,spotted,blue,Instruct,spotted,green,IMU,Instruct,spotted,green,Teach,Plain,-2,Teach,Spotted,+2,Teach,Spotted,+2,Instruct,spotted,green,Instruct,striped,red,Instruct,spotted,blue,Teach,Striped,-2,1,1,1,2,2,1,1,1,3,2,1,2,2,2,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,0/6,1/6
662f7d51a030815500d16eb0,Male,37,1,1,1,1,1,1,2,4,5,4,1,1,1,1,1,Somewhat Characteristic,Somewhat Characteristic,Extremely Uncharacteristic,Extremely Uncharacteristic,Somewhat Characteristic,Extremely Characteristic,Extremely Characteristic,Somewhat Characteristic,Extremely Uncharacteristic,Uncertain,Extremely Uncharacteristic,Somewhat Characteristic,1,Teach,Spotted,-1,Instruct,plain,green,Teach,Green,+2,Instruct,spotted,green,Teach,Blue,-2,Instruct,plain,green,Instruct,striped,red,Teach,Blue,-2,RND,Instruct,striped,blue,Instruct,striped,red,Instruct,striped,red,Instruct,striped,red,Teach,Green,+2,Teach,Red,-1,Teach,Blue,+2,Teach,Green,-1,1,1,1,1,1,1,3,4,5,1,6,4,2,1,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,1,2,3,4,1,2,3,4,0,0,0,0,0,0,0,0,0/6,0/6
6643937dc8deb7be30dac9c4,Male,39,1,1,1,2,2,1,2,6,6,2,3,2,1,2,4,Somewhat Characteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Characteristic,Somewhat Characteristic,Somewhat Characteristic,Extremely Characteristic,Somewhat Characteristic,Uncertain,Somewhat Characteristic,Somewhat Characteristic,Uncertain,2,Instruct,striped,blue,Teach,Plain,-2,Instruct,spotted,blue,Teach,Spotted,+2,Instruct,striped,blue,Teach,Plain,-2,Instruct,spotted,blue,Teach,Spotted,+2,DMU,Teach,Spotted,+2,Teach,Plain,-2,Instruct,spotted,blue,Teach,Spotted,+2,Instruct,spotted,green,Teach,Plain,-2,Instruct,spotted,blue,Teach,Spotted,+2,1,1,1,1,1,1,1,6,6,3,3,2,1,2,4,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,0/6,0/6
637fcf550c8c455c6098a06d,Male,56,1,1,1,1,1,1,1,5,5,5,1,1,1,1,1,Somewhat Characteristic,Uncertain,Somewhat Uncharacteristic,Uncertain,Somewhat Uncharacteristic,Extremely Characteristic,Extremely Characteristic,Uncertain,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,2,Teach,Spotted,+2,Teach,Spotted,+2,Teach,Spotted,+2,Teach,Spotted,+2,Instruct,spotted,blue,Instruct,plain,red,Instruct,striped,green,Instruct,striped,blue,RND,Instruct,striped,blue,Teach,Green,-2,Instruct,striped,red,Teach,Spotted,-2,Instruct,plain,green,Teach,Red,-2,Instruct,spotted,blue,Teach,Green,-1,2,2,,2,2,2,2,4,4,4,2,2,2,2,2,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,1,2,3,4,1,2,3,4,0,0,0,0,0,0,0,0,0/6,0/6
60fdef558b926ecb4de631cf,Male,28,1,1,1,1,1,1,1,6,6,3,3,2,2,2,1,Somewhat Characteristic,Extremely Characteristic,Extremely Uncharacteristic,Extremely Uncharacteristic,Somewhat Uncharacteristic,Somewhat Characteristic,Somewhat Characteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Extremely Uncharacteristic,1,Instruct,plain,green,Teach,Green,+2,Teach,Green,+2,Teach,Green,+2,Instruct,plain,green,Teach,Red,-2,Teach,Green,-2,Teach,Plain,+1,IMU,Teach,Green,+2,Teach,Plain,+1,Teach,Green,+2,Teach,Plain,+1,Instruct,plain,red,Teach,Plain,-2,Teach,Striped,-2,Teach,Blue,-2,1,1,1,1,1,1,1,6,6,4,2,1,2,2,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,2/6,2/6
63929d48d18e60dd8b5e4463,Male,38,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,Somewhat Characteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Uncertain,Somewhat Characteristic,Somewhat Characteristic,Somewhat Characteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Uncertain,1,Teach,Plain,+1,Instruct,plain,green,Instruct,striped,green,Instruct,spotted,green,Teach,Blue,-2,Teach,Red,-2,Teach,Striped,-2,Teach,Striped,-2,DMU,Instruct,spotted,green,Teach,Striped,-2,Teach,Plain,+2,Teach,Plain,0,Teach,Blue,-1,Instruct,plain,green,Teach,Green,-1,Teach,Striped,-2,3,3,3,3,3,3,3,4,4,,,3,3,3,3,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,3/6,6/6
661825de60cb5961005070eb,Female,44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Somewhat Characteristic,Somewhat Uncharacteristic,Somewhat Characteristic,Somewhat Characteristic,Somewhat Characteristic,Somewhat Characteristic,Uncertain,Uncertain,Somewhat Characteristic,Somewhat Characteristic,Somewhat Characteristic,Somewhat Characteristic,1,Instruct,plain,green,Teach,Plain,+1,Instruct,spotted,green,Instruct,spotted,green,Teach,Plain,+1,Instruct,plain,green,Instruct,spotted,green,Teach,Spotted,-1,RND,Teach,Striped,0,Teach,Red,0,Teach,Red,0,Instruct,spotted,green,Teach,Green,+2,Teach,Plain,+1,Teach,Blue,-2,Instruct,striped,red,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,1,2,3,4,1,2,3,4,0,0,0,0,0,0,0,0,0/6,0/6
660b40f4c78a0305b2ed28cb,Female,37,1,1,1,1,1,1,3,5,3,3,4,1,1,1,1,Somewhat Characteristic,Uncertain,Extremely Uncharacteristic,Extremely Uncharacteristic,Somewhat Uncharacteristic,Somewhat Characteristic,Somewhat Characteristic,Uncertain,Extremely Uncharacteristic,Extremely Uncharacteristic,Somewhat Characteristic,Uncertain,1,Instruct,plain,green,Instruct,plain,green,Teach,Striped,0,Instruct,spotted,green,Instruct,spotted,green,Instruct,plain,green,Instruct,spotted,green,Instruct,spotted,green,IMU,Instruct,plain,red,Instruct,plain,green,Instruct,spotted,green,Instruct,spotted,green,Instruct,spotted,green,Instruct,plain,green,Instruct,striped,red,Instruct,spotted,green,1,1,1,1,1,1,2,3,3,2,6,1,4,2,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,0/6,0/6
6287763406cda054cab1015c,Female,46,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,Somewhat Characteristic,Somewhat Characteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Characteristic,Extremely Characteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Uncharacteristic,1,Instruct,plain,red,Teach,Green,+2,Teach,Green,+2,Instruct,spotted,green,Instruct,plain,red,Teach,Green,+2,Teach,Striped,0,Teach,Blue,-2,DMU,Instruct,spotted,green,Teach,Green,+2,Teach,Blue,-2,Teach,Spotted,-1,Teach,Spotted,-1,Instruct,plain,green,Teach,Striped,0,Teach,Blue,-2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,0/6,0/6
648343299ec8050d10aee27d,Female,53,1,1,1,1,1,1,1,6,6,4,1,1,1,1,1,Somewhat Uncharacteristic,Somewhat Uncharacteristic,Somewhat Characteristic,Somewhat Characteristic,Somewhat Characteristic,Uncertain,Somewhat Characteristic,Uncertain,Somewhat Uncharacteristic,Somewhat Characteristic,Uncertain,Somewhat Uncharacteristic,1,Teach,Spotted,+1,Instruct,plain,green,Instruct,spotted,green,Instruct,spotted,green,Instruct,spotted,green,Teach,Striped,0,Instruct,striped,red,Instruct,spotted,green,RND,Instruct,striped,blue,Instruct,plain,green,Teach,Striped,0,Instruct,spotted,green,Instruct,spotted,green,Instruct,plain,green,Instruct,striped,red,Instruct,spotted,green,1,1,1,1,1,1,1,5,6,4,1,1,2,1,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,1,2,3,4,1,2,3,4,0,0,0,0,0,0,0,0,1/6,0/6
5c573f18d3cc6b0001d9dbc3,Male,30,1,1,1,1,1,1,1,5,7,2,2,1,1,1,1,Somewhat Characteristic,Somewhat Characteristic,Somewhat Characteristic,Extremely Uncharacteristic,Extremely Uncharacteristic,Extremely Characteristic,Uncertain,Somewhat Characteristic,Somewhat Uncharacteristic,Extremely Uncharacteristic,Extremely Uncharacteristic,Somewhat Characteristic,2,Teach,Spotted,+2,Teach,Green,-1,Teach,Blue,+1,Instruct,spotted,green,Instruct,spotted,green,Teach,Red,0,Teach,Striped,0,Instruct,spotted,blue,DMU,Instruct,spotted,blue,Teach,Blue,+2,Instruct,spotted,blue,Teach,Green,-1,Instruct,striped,blue,Instruct,striped,red,Instruct,spotted,blue,Teach,Green,-1,1,1,1,1,1,1,1,5,7,1,4,1,4,2,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,1,2,3,4,1,2,3,4,0,0,0,0,1,1,1,1,0/6,1/6
